eventid,userid,productid,eventtype,eventtime
47352,6028,1929,view,5/08/2024
55081,6641,749,cart,28/10/2025
19170,2647,724,purchase,15/04/2024
3198,9917,202,view,17/02/2024
7432,273,427,view,20/03/2024
44586,1848,729,view,4/08/2025
60315,8734,290,view,16/03/2025
71152,4182,132,view,6/10/2025
13352,347,610,purchase,29/07/2025
67160,5940,1762,purchase,3/08/2025
5277,6523,999,view,7/04/2024
11997,7478,478,view,12/07/2024
19751,6262,1211,view,24/04/2024
20511,5847,204,view,3/07/2025
27038,9816,1683,view,29/04/2024
37489,3510,1388,view,30/10/2025
52859,2494,1664,view,8/05/2024
5353,2391,908,purchase,22/06/2025
41105,250,881,purchase,5/07/2024
58935,8078,1984,view,19/09/2025
68073,688,984,view,28/02/2024
3560,8999,1861,purchase,28/08/2024
24297,9230,247,purchase,8/04/2024
2006,8336,1468,view,26/11/2024
25255,2554,1331,view,13/11/2024
79206,6523,1090,view,1/09/2024
22998,6645,1787,cart,11/01/2024
45057,2567,327,cart,15/07/2024
18526,6731,786,wishlist,27/04/2024
8825,6598,1777,view,4/02/2024
29631,3957,970,view,15/05/2025
48066,9352,948,view,11/08/2025
39179,9154,104,cart,13/01/2024
7875,7247,1507,view,30/10/2024
19682,1649,1760,view,8/04/2024
29589,2846,623,view,29/01/2024
31683,8796,1877,view,23/12/2024
37682,534,1531,view,29/12/2024
70031,1431,739,view,28/02/2025
21357,1724,1938,cart,27/05/2024
23938,8124,964,cart,31/10/2025
61657,5038,641,purchase,25/03/2024
3561,4479,1131,view,12/01/2025
28609,1474,229,view,23/11/2024
9536,9129,1853,cart,12/06/2025
19348,1460,1026,cart,9/08/2025
22172,7124,1363,view,3/12/2024
57881,5571,1019,view,23/04/2024
62290,8359,1174,view,17/02/2024
72317,2170,964,view,9/04/2025
31241,5801,811,cart,28/11/2024
37963,7891,1882,cart,14/02/2025
46284,1565,1493,view,20/06/2025
50140,1857,300,view,20/04/2025
75191,7308,712,view,10/02/2025
77738,114,548,view,13/03/2024
79849,5069,25,view,27/05/2025
12840,1548,752,view,4/10/2025
36985,7458,170,view,5/12/2024
40957,7638,1411,view,3/05/2024
42057,2375,1636,view,27/01/2024
50767,7102,1097,view,7/06/2024
56923,2818,1465,view,19/05/2024
57288,9341,536,view,8/01/2024
61958,2747,1856,view,2/08/2025
63356,573,685,view,14/07/2025
57330,6161,1072,purchase,9/02/2024
27765,3886,442,view,25/11/2024
74127,2820,1479,view,8/10/2025
18560,6761,1253,cart,8/02/2024
41662,1161,1207,cart,14/02/2024
19363,5907,1948,view,11/01/2024
72427,2729,1178,view,14/08/2025
7295,5522,1959,view,4/01/2025
35028,8679,1982,view,7/03/2024
41713,8271,496,view,3/09/2025
42310,1924,1423,view,16/03/2025
58303,586,769,view,18/07/2025
73623,9809,64,view,1/11/2024
51502,9898,393,wishlist,24/08/2024
3618,5560,209,view,1/12/2024
37787,2468,1210,view,22/01/2025
53771,6483,1867,view,24/08/2024
59466,7828,1216,view,8/07/2024
6563,4869,718,cart,18/06/2025
12582,2318,486,view,18/02/2025
29592,5865,1144,view,12/09/2024
36963,5614,900,view,27/10/2024
30881,5707,1352,cart,13/12/2024
50031,628,1751,wishlist,28/09/2024
48719,4523,142,view,6/04/2025
51018,9902,117,view,16/05/2025
24984,9651,1778,cart,12/03/2025
46070,4778,1922,cart,28/07/2024
76589,1129,262,cart,15/04/2025
77740,7965,518,cart,23/08/2024
6084,6163,1507,view,15/01/2024
66082,4890,659,view,19/04/2024
19743,4688,1431,wishlist,26/08/2024
34270,6037,1449,view,19/02/2025
38581,5453,1012,view,17/08/2024
39826,4812,1092,view,9/04/2024
42591,7843,1330,view,12/05/2025
45032,715,1882,view,17/08/2025
16209,1037,1935,cart,11/10/2025
29018,9282,1307,view,23/02/2024
65335,6699,1661,view,30/10/2025
9782,5129,1140,view,1/06/2025
22753,9716,1764,view,4/06/2024
65766,295,451,view,15/03/2024
72257,8065,253,view,23/04/2025
58078,6606,1990,cart,29/05/2025
28225,854,1368,wishlist,18/05/2024
54224,7040,1896,wishlist,15/10/2025
44142,1771,627,view,13/04/2024
66338,8074,886,view,20/07/2025
2063,7122,1685,cart,21/12/2024
53702,161,82,wishlist,14/12/2024
9651,4641,1569,view,6/03/2024
15419,4154,1500,view,14/10/2025
20050,5775,1233,view,14/04/2024
47469,634,537,view,9/08/2025
48279,2001,726,view,21/04/2024
76376,3159,1627,view,12/03/2024
76381,3843,352,view,19/02/2024
77468,1906,170,view,8/04/2025
54079,4229,1469,purchase,21/08/2024
3634,4621,302,view,4/09/2024
16245,2865,1262,view,6/12/2024
32991,7667,28,view,16/07/2025
70901,1369,23,view,22/10/2025
20043,625,905,cart,20/07/2024
3266,814,655,view,3/06/2024
6023,1146,217,view,9/10/2024
24703,7804,1268,view,13/07/2025
29181,9863,370,view,7/10/2025
50593,6971,406,view,25/04/2024
56466,6241,1308,cart,2/06/2025
45527,5883,213,wishlist,24/03/2025
48010,53,1000,view,25/06/2024
49344,7005,324,view,4/10/2025
57892,2950,1124,view,4/06/2025
68855,5710,1715,view,21/03/2024
5630,6686,1514,cart,27/06/2025
13592,6340,513,cart,25/05/2025
25861,9757,1657,cart,7/08/2025
16265,1918,1348,view,16/06/2024
54454,2696,691,view,19/05/2024
24111,9557,87,view,24/07/2024
41051,3565,1579,view,21/10/2025
68139,3046,1560,view,11/03/2024
