orderid,userid,orderdate,orderstatus,orderamount
17004,6851,23/03/2024,returned,628.93
5469,694,19/07/2025,cancelled,56.87
8177,5231,28/06/2025,processing,94.12
3788,1988,12/11/2024,shipped,3.13
14914,170,21/03/2025,processing,625.05
1353,3577,12/11/2024,shipped,1495
11692,6345,26/08/2025,shipped,83.13
11786,2055,21/03/2024,returned,832.48
3426,9008,8/01/2024,processing,202.11
12993,7863,3/06/2025,shipped,224.01
7918,2311,3/08/2025,processing,1977.15
10069,4042,18/05/2024,processing,664.03
4236,6707,22/01/2025,shipped,118.5
13910,9449,15/05/2025,completed,18.64
9118,3718,8/03/2025,completed,575.24
17215,8099,20/07/2025,cancelled,695.48
5913,8055,5/10/2025,shipped,570.57
5891,6620,25/06/2025,shipped,1703.13
3523,7502,9/11/2024,completed,531.53
7933,4302,19/08/2024,returned,47.18
9658,4583,4/02/2024,processing,101.53
7197,8408,7/04/2024,completed,743.19
17119,6343,11/11/2025,returned,361.95
9579,9374,14/02/2024,processing,286.99
6397,6275,13/11/2024,shipped,49.59
1544,8912,25/03/2024,processing,53.26
6746,51,10/08/2025,shipped,586.6
9080,9718,1/03/2025,processing,3417.82
15866,3908,7/07/2025,processing,147.92
4529,5682,4/02/2025,shipped,18.65
18441,2699,27/05/2024,cancelled,19.97
16701,4874,28/04/2024,returned,580.23
6679,7236,4/07/2024,processing,372.7
7547,8917,19/03/2024,processing,90.15
12774,3347,17/10/2024,completed,458.68
1576,3273,20/10/2024,returned,458.37
18614,4961,23/07/2024,shipped,358.44
1497,3429,26/05/2025,cancelled,19.17
9400,340,10/10/2024,completed,266.43
3771,7785,24/04/2024,returned,403.32
15909,7358,8/04/2024,cancelled,1039.2
15574,1810,6/01/2025,shipped,110.08
15827,4635,24/06/2024,shipped,3154.5
17466,637,27/08/2024,cancelled,474.14
14910,3275,1/03/2024,completed,261.97
1570,2102,9/10/2025,processing,152.3
8802,6938,11/11/2025,shipped,29.1
17367,9330,23/05/2024,completed,54.61
7359,5808,10/07/2024,shipped,326.46
