prdid,prdname,prdcategory,prdbrand,prdprice,prdrating
757,Zenith Lead,Toys,Zenith,94.95,4.15
650,Everest Parent,Sports,Everest,235.46,4.24
198,Orion Face,Electronics,Orion,1352.63,4.66
731,Pulse Treat,Electronics,Pulse,1236.42,4.23
950,GreenLeaf Current,Automotive,GreenLeaf,654.76,2.55
1805,GreenLeaf Hear,Groceries,GreenLeaf,11.37,2.55
1298,Astra Moment,Toys,Astra,92.91,4.87
937,Acme Computer,Electronics,Acme,401.3,4.38
828,Nimbus Nature,Groceries,Nimbus,8.6,3.42
1000,Solace Never,Electronics,Solace,443.67,4.2
373,Everest Difference,Automotive,Everest,390.56,4.65
923,NeoTech Change,Groceries,NeoTech,6.52,4.04
1491,Zenith Society,Sports,Zenith,153.2,4.47
374,Solace The,Sports,Solace,377.51,4.71
617,Astra Free,Beauty,Astra,45.28,2.5
835,Acme School,Books,Acme,17.57,4.28
344,GreenLeaf At,Automotive,GreenLeaf,145.72,3.91
322,Astra Explain,Groceries,Astra,32.16,2.81
269,Zenith Clear,Pet Supplies,Zenith,74.5,3.44
1485,Pulse Lose,Electronics,Pulse,850.61,4.58
1877,Orion Miss,Toys,Orion,63.71,3.93
1589,Harbor Else,Electronics,Harbor,175.72,3.7
1973,Pulse Design,Electronics,Pulse,416.78,2.72
1146,Harbor Return,Electronics,Harbor,697.07,4.69
1219,Pulse Skin,Pet Supplies,Pulse,28.04,3.17
585,Solace Tough,Home & Kitchen,Solace,44.29,4.44
12,GreenLeaf Road,Electronics,GreenLeaf,1299.71,3.61
1450,Zenith Should,Clothing,Zenith,108.38,2.96
1361,Acme Sense,Beauty,Acme,33.11,4.48
694,Orion Even,Home & Kitchen,Orion,318.23,2.75
1708,Orion Room,Books,Orion,99.54,2.97
900,Pulse Real,Groceries,Pulse,21.1,3.35
988,Astra Purpose,Books,Astra,79.42,4.3
147,NeoTech Beat,Toys,NeoTech,52.33,4.29
1397,Zenith Town,Electronics,Zenith,513.63,2.94
1958,Willow Go,Pet Supplies,Willow,94.62,3.76
1560,Everest Bar,Electronics,Everest,1033.13,4.31
1339,Orion Break,Automotive,Orion,535.69,2.63
1790,Zenith Result,Sports,Zenith,403.08,3.26
868,Willow Eat,Beauty,Willow,131.16,3.37
1876,Willow Law,Beauty,Willow,67.41,4.38
1190,Orion Once,Home & Kitchen,Orion,157.51,3
718,Solace Through,Automotive,Solace,384.4,3.56
1002,Harbor Night,Clothing,Harbor,209.1,3.68
