reviewid,orderid,productid,userid,rating,reviewtext,reviewdate
21347,9867,1979,3035,5,"""Not as expected; quality is poor.""",15/05/2024 21:18
18409,8502,212,5629,4,Works perfectly!,18/05/2024 11:52
18885,8722,649,4226,5,Decent product for the price.,15/03/2025 21:21
1513,682,934,4291,5,"""Excellent product; will buy again.""",30/05/2025 17:30
30524,14023,1451,3319,4,Color was different from images.,27/05/2024 5:48
16678,7702,1147,8613,5,"""Not as expected; quality is poor.""",3/07/2025 11:52
7827,3574,755,3351,4,Fast shipping and good packaging.,7/06/2025 3:31
23367,10782,1941,2399,3,Fast shipping and good packaging.,1/05/2024 18:14
38948,17849,187,2835,3,"""Not as expected; quality is poor.""",8/04/2024 7:54
40096,18383,1588,8260,2,Item arrived damaged.,22/08/2025 2:50
36967,16961,765,3871,4,Highly recommend this brand.,2/05/2024 9:11
27181,12497,980,8890,4,"""Excellent product; will buy again.""",8/04/2024 11:20
43338,19922,1322,6915,3,Value for money.,3/09/2024 8:47
18400,8498,265,9336,3,Item arrived damaged.,3/10/2024 12:55
32906,15106,983,3987,2,Decent product for the price.,15/05/2025 11:28
169,69,1219,7490,4,Highly recommend this brand.,25/02/2024 17:41
6441,2907,585,3759,3,Works perfectly!,23/05/2025 22:07
24212,11176,609,3470,3,"""Not as expected; quality is poor.""",5/04/2024 10:31
17816,8234,1564,8204,5,Highly recommend this brand.,6/02/2025 23:38
42244,19395,842,7665,4,Value for money.,14/04/2024 17:00
38841,17802,333,9678,2,Highly recommend this brand.,9/10/2024 0:55
32354,14857,862,7863,4,Fast shipping and good packaging.,13/03/2025 4:26
26199,12069,39,1599,1,Works perfectly!,19/01/2024 12:21
38978,17861,1808,8864,3,Fast shipping and good packaging.,9/02/2024 3:42
10160,4669,1162,4344,4,Color was different from images.,13/11/2025 22:46
42761,19649,1516,949,5,Customer service was helpful.,20/04/2024 8:40
9695,4462,1703,3946,1,Highly recommend this brand.,16/06/2025 21:25
19350,8949,972,5191,5,"""Excellent product; will buy again.""",13/11/2024 2:30
31673,14539,1054,3972,5,Value for money.,22/11/2024 7:02
31364,14400,9,8275,3,Customer service was helpful.,14/08/2025 20:44
30540,14031,501,3395,2,Fast shipping and good packaging.,11/04/2024 9:15
38441,17620,43,121,5,Highly recommend this brand.,19/07/2025 14:54
14084,6484,1392,7252,5,Value for money.,6/08/2024 6:56
34120,15664,1750,8710,3,Highly recommend this brand.,27/01/2025 17:03
18593,8589,1440,3073,5,Works perfectly!,12/05/2024 7:14
24941,11511,59,143,5,Color was different from images.,13/06/2025 5:09
